"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***,G***";"logo_MLlabs_small";2;"LOGO";;;
2;"IC1";"DIP28";1;"ATMEGA328P-P";;;
3;"REF**,REF**";"Strip_1x04";2;"Socket_Strip_Straight_1x04";;;
4;"mouse-bite-2.54mm-slot,mouse-bite-2.54mm-slot";"mouse-bite-2.54mm-slot";2;"VAL**";;;
5;"D1,D2,D6,D3,D4,D5";"DC08";6;"DC08";;;
6;"C2,C1,C3";"C_Disc_D3_P2.5";3;"0.1uF";;;
7;"CON1";"ICSP";1;"AVR-ISP-6";;;
8;"P1,P3";"Socket_Strip_Straight_1x13";2;"CONN_01X13";;;
9;"P2,P4";"Socket_Strip_Straight_1x09";2;"CONN_01X09";;;
10;"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16";"0.125_Resistor";16;"120";;;
11;"R17";"0.125_Resistor";1;"10k";;;
12;"P5";"Strip_1x06";1;"UART";;;
13;"P6,P7";"Strip_1x02";2;"CONN_01X02";;;
14;"IC2";"DIP-16_W7.62mm";1;"74HC238";;;
15;"U1";"DIP-16_W7.62mm";1;"ULN2003A";;;
16;"REF**,REF**";"Strip_1x01";2;"Socket_Strip_Straight_1x01";;;
